P-Graph: 
(Performance metrics: Gain, Unity_Gain_Frequency, Hysteresis_Error, Offset_Voltage)  
(Gain, trade-off, Unity_Gain_Frequency)  
(Gain, trade-off, Hysteresis_Error)  
(Gain, trade-off, Offset_Voltage)  
(Unity_Gain_Frequency, mild influence, Hysteresis_Error)  
(Hysteresis_Error, mild influence, Offset_Voltage)  

---

P-S-Graph:
(Sub-structures: Differential_Pair, Active_Load, Regenerative_Feedback_Pair, Output_Stage, Bias_Current_Source, Load_Capacitor)  
(Differential_Pair, influences, Gain)  
(Differential_Pair, influences, Offset_Voltage)  
(Differential_Pair, influences, Unity_Gain_Frequency)  
(Active_Load, influences, Gain)  
(Active_Load, influences, Unity_Gain_Frequency)  
(Regenerative_Feedback_Pair, influences, Hysteresis_Error)  
(Regenerative_Feedback_Pair, influences, Gain)  
(Output_Stage, influences, Gain)  
(Output_Stage, influences, Offset_Voltage)  
(Bias_Current_Source, influences, Gain)  
(Bias_Current_Source, influences, Unity_Gain_Frequency)  
(Load_Capacitor, influences, Unity_Gain_Frequency)  

---

P-S-X-Graph:
(Design Parameters: l1, w1, l2, w2, l3, w3, l4, w4, l5, w5, l6, w6, l7, w7, l8, w8, l9, w9, l10, w10, l11, w11, l12, w12)  

(l1, belongs_to, Differential_Pair)  
(w1, belongs_to, Differential_Pair)  
(l2, belongs_to, Differential_Pair)  
(w2, belongs_to, Differential_Pair)  
(l3, belongs_to, Active_Load)  
(w3, belongs_to, Active_Load)  
(l4, belongs_to, Active_Load)  
(w4, belongs_to, Active_Load)  
(l5, belongs_to, Regenerative_Feedback_Pair)  
(w5, belongs_to, Regenerative_Feedback_Pair)  
(l6, belongs_to, Regenerative_Feedback_Pair)  
(w6, belongs_to, Regenerative_Feedback_Pair)  
(l7, belongs_to, Regenerative_Feedback_Pair)  
(w7, belongs_to, Regenerative_Feedback_Pair)  
(l8, belongs_to, Regenerative_Feedback_Pair)  
(w8, belongs_to, Regenerative_Feedback_Pair)  
(l9, belongs_to, Output_Stage)  
(w9, belongs_to, Output_Stage)  
(l10, belongs_to, Output_Stage)  
(w10, belongs_to, Output_Stage)  
(l11, belongs_to, Bias_Current_Source)  
(w11, belongs_to, Bias_Current_Source)  
(l12, belongs_to, Bias_Current_Source)  
(w12, belongs_to, Bias_Current_Source)  

(w1, increasing_design_paramteter_increases_performance_metric, Gain)  
(w2, increasing_design_paramteter_increases_performance_metric, Gain)  
(w1, increasing_design_paramteter_decreases_performance_metric, Offset_Voltage)  
(w2, increasing_design_paramteter_decreases_performance_metric, Offset_Voltage)  
(w3, increasing_design_paramteter_increases_performance_metric, Gain)  
(w4, increasing_design_paramteter_increases_performance_metric, Gain)  
(w3, increasing_design_paramteter_increases_performance_metric, Unity_Gain_Frequency)  
(w4, increasing_design_paramteter_increases_performance_metric, Unity_Gain_Frequency)  
(w5, increasing_design_paramteter_decreases_performance_metric, Hysteresis_Error)  
(w6, increasing_design_paramteter_decreases_performance_metric, Hysteresis_Error)  
(w7, increasing_design_paramteter_decreases_performance_metric, Hysteresis_Error)  
(w8, increasing_design_paramteter_decreases_performance_metric, Hysteresis_Error)  
(w9, increasing_design_paramteter_decreases_performance_metric, Offset_Voltage)  
(w10, increasing_design_paramteter_decreases_performance_metric, Offset_Voltage)  
(w11, increasing_design_paramteter_increases_performance_metric, Gain)  
(w11, increasing_design_paramteter_increases_performance_metric, Unity_Gain_Frequency)  
(w12, increasing_design_paramteter_increases_performance_metric, Gain)  
(w12, increasing_design_paramteter_increases_performance_metric, Unity_Gain_Frequency)
