P-Graph:
(Performance metrics: Gain, Unity Gain Frequency, Hysteresis-error, Offset-voltage)

(Gain, direct relationship, Unity Gain Frequency)
(Gain, trade-off, Offset-voltage)
(Unity Gain Frequency, trade-off, Hysteresis-error)
(Offset-voltage, mild influence, Hysteresis-error)

P-S-Graph:
(Sub-structures: Differential Pair, Current Mirrors, Load Stages)

(Differential Pair, influences, Gain)
(Differential Pair, influences, Unity Gain Frequency)
(Current Mirrors, influences, Gain)
(Current Mirrors, influences, Unity Gain Frequency)
(Load Stages, influences, Offset-voltage)
(Load Stages, influences, Hysteresis-error)

P-S-X-Graph:
(Design Parameters: l1, w1, l2, w2, l3, w3, l4, w4, l5, w6, w5, w6, l7, w7, l8, w8, l9, w9, l10, w10, l11, w11, l12, w12)

(l1, belongs_to, Differential Pair)
(w1, belongs_to, Differential Pair)
(l2, belongs_to, Differential Pair)
(w2, belongs_to, Differential Pair)
(l3, belongs_to, Current Mirrors)
(w3, belongs_to, Current Mirrors)
(l4, belongs_to, Current Mirrors)
(w4, belongs_to, Current Mirrors)
(l5, belongs_to, Load Stages)
(w5, belongs_to, Load Stages)
(l6, belongs_to, Load Stages)
(w6, belongs_to, Load Stages)
(l7, belongs_to, Load Stages)
(w7, belongs_to, Load Stages)
(l8, belongs_to, Load Stages)
(w8, belongs_to, Load Stages)
(l9, belongs_to, Current Mirrors)
(w9, belongs_to, Current Mirrors)
(l10, belongs_to, Current Mirrors)
(w10, belongs_to, Current Mirrors)
(l11, belongs_to, Differential Pair)
(w11, belongs_to, Differential Pair)
(l12, belongs_to, Differential Pair)
(w12, belongs_to, Differential Pair)

(l1, increasing_design_paramteter_increases_performance_metric, Gain)
(l1, increasing_design_paramteter_decreases_performance_metric, Unity Gain Frequency)
(w1, increasing_design_paramteter_increases_performance_metric, Gain)
(w1, increasing_design_paramteter_decreases_performance_metric, Unity Gain Frequency)
(l2, increasing_design_paramteter_increases_performance_metric, Gain)
(l2, increasing_design_paramteter_decreases_performance_metric, Unity Gain Frequency)
(w2, increasing_design_paramteter_increases_performance_metric, Gain)
(w2, increasing_design_paramteter_decreases_performance_metric, Unity Gain Frequency)
(l3, increasing_design_paramteter_increases_performance_metric, Gain)
(l3, increasing_design_paramteter_decreases_performance_metric, Unity Gain Frequency)
(w3, increasing_design_paramteter_increases_performance_metric, Gain)
(w3, increasing_design_paramteter_decreases_performance_metric, Unity Gain Frequency)
(l4, increasing_design_paramteter_increases_performance_metric, Gain)
(l4, increasing_design_paramteter_decreases_performance_metric, Unity Gain Frequency)
(w4, increasing_design_paramteter_increases_performance_metric, Gain)
(w4, increasing_design_paramteter_decreases_performance_metric, Unity Gain Frequency)
(l5, increasing_design_paramteter_increases_performance_metric, Offset-voltage)
(l5, increasing_design_paramteter_decreases_performance_metric, Hysteresis-error)
(w5, increasing_design_paramteter_increases_performance_metric, Offset-voltage)
(w5, increasing_design_paramteter_decreases_performance_metric, Hysteresis-error)
(l6, increasing_design_paramteter_increases_performance_metric, Offset-voltage)
(l6, increasing_design_paramteter_decreases_performance_metric, Hysteresis-error)
(w6, increasing_design_paramteter_increases_performance_metric, Offset-voltage)
(w6, increasing_design_paramteter_decreases_performance_metric, Hysteresis-error)
(l7, increasing_design_paramteter_increases_performance_metric, Offset-voltage)
(l7, increasing_design_paramteter_decreases_performance_metric, Hysteresis-error)
(w7, increasing_design_paramteter_increases_performance_metric, Offset-voltage)
(w7, increasing_design_paramteter_decreases_performance_metric, Hysteresis-error)
(l8, increasing_design_paramteter_increases_performance_metric, Offset-voltage)
(l8, increasing_design_paramteter_decreases_performance_metric, Hysteresis-error)
(w8, increasing_design_paramteter_increases_performance_metric, Offset-voltage)
(w8, increasing_design_paramteter_decreases_performance_metric, Hysteresis-error)
(l9, increasing_design_paramteter_increases_performance_metric, Gain)
(l9, increasing_design_paramteter_decreases_performance_metric, Unity Gain Frequency)
(w9, increasing_design_paramteter_increases_performance_metric, Gain)
(w9, increasing_design_paramteter_decreases_performance_metric, Unity Gain Frequency)
(l10, increasing_design_paramteter_increases_performance_metric, Gain)
(l10, increasing_design_paramteter_decreases_performance_metric, Unity Gain Frequency)
(w10, increasing_design_paramteter_increases_performance_metric, Gain)
(w10, increasing_design_paramteter_decreases_performance_metric, Unity Gain Frequency)
(l11, increasing_design_paramteter_increases_performance_metric, Gain)
(l11, increasing_design_paramteter_decreases_performance_metric, Unity Gain Frequency)
(w11, increasing_design_paramteter_increases_performance_metric, Gain)
(w11, increasing_design_paramteter_decreases_performance_metric, Unity Gain Frequency)
(l12, increasing_design_paramteter_increases_performance_metric, Gain)
(l12, increasing_design_paramteter_decreases_performance_metric, Unity Gain Frequency)
(w12, increasing_design_paramteter_increases_performance_metric, Gain)
(w12, increasing_design_paramteter_decreases_performance_metric, Unity Gain Frequency)
