P-Graph:
(Performance metrics: Gain, Unity Gain Frequency (UGF), Hysteresis-Error, Offset-Voltage)
(Gain, trade-off, Unity Gain Frequency (UGF))
(Gain, direct relationship, Offset-Voltage)
(Hysteresis-Error, trade-off, Offset-Voltage)

P-S-Graph:
(Sub-structures: Differential Pair, Load Stage, Current Source)
(Differential Pair, influences, Gain)
(Differential Pair, influences, Unity Gain Frequency (UGF))
(Differential Pair, influences, Offset-Voltage)
(Load Stage, influences, Gain)
(Load Stage, influences, Unity Gain Frequency (UGF))
(Current Source, influences, Offset-Voltage)
(Current Source, influences, Hysteresis-Error)

P-S-X-Graph:
(Design Parameters: l1, w1, l2, w2, l3, w3, l4, w4, l5, w5, l6, w6, l7, w7, l8, w8, l9, w9, l10, w10, l11, w11, l12, w12)
(l1, belongs_to, Differential Pair)
(l1, increasing_design_parameter_decreases_performance_metric, Gain)
(l1, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF))
(l1, increasing_design_parameter_increases_performance_metric, Offset-Voltage)
(w1, belongs_to, Differential Pair)
(w1, increasing_design_parameter_increases_performance_metric, Gain)
(w1, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF))
(w1, increasing_design_parameter_decreases_performance_metric, Offset-Voltage)
(l2, belongs_to, Differential Pair)
(l2, increasing_design_parameter_decreases_performance_metric, Gain)
(l2, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF))
(l2, increasing_design_parameter_increases_performance_metric, Offset-Voltage)
(w2, belongs_to, Differential Pair)
(w2, increasing_design_parameter_increases_performance_metric, Gain)
(w2, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF))
(w2, increasing_design_parameter_decreases_performance_metric, Offset-Voltage)
(l3, belongs_to, Load Stage)
(l3, increasing_design_parameter_decreases_performance_metric, Gain)
(l3, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF))
(w3, belongs_to, Load Stage)
(w3, increasing_design_parameter_increases_performance_metric, Gain)
(w3, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF))
(l4, belongs_to, Load Stage)
(l4, increasing_design_parameter_decreases_performance_metric, Gain)
(l4, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF))
(w4, belongs_to, Load Stage)
(w4, increasing_design_parameter_increases_performance_metric, Gain)
(w4, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF))
(l5, belongs_to, Load Stage)
(l5, increasing_design_parameter_decreases_performance_metric, Gain)
(l5, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF))
(w5, belongs_to, Load Stage)
(w5, increasing_design_parameter_increases_performance_metric, Gain)
(w5, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF))
(l6, belongs_to, Load Stage)
(l6, increasing_design_parameter_decreases_performance_metric, Gain)
(l6, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF))
(w6, belongs_to, Load Stage)
(w6, increasing_design_parameter_increases_performance_metric, Gain)
(w6, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF))
(l7, belongs_to, Load Stage)
(l7, increasing_design_parameter_decreases_performance_metric, Gain)
(l7, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF))
(w7, belongs_to, Load Stage)
(w7, increasing_design_parameter_increases_performance_metric, Gain)
(w7, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF))
(l8, belongs_to, Load Stage)
(l8, increasing_design_parameter_decreases_performance_metric, Gain)
(l8, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF))
(w8, belongs_to, Load Stage)
(w8, increasing_design_parameter_increases_performance_metric, Gain)
(w8, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF))
(l9, belongs_to, Current Source)
(l9, increasing_design_parameter_increases_performance_metric, Offset-Voltage)
(l9, increasing_design_parameter_increases_performance_metric, Hysteresis-Error)
(w9, belongs_to, Current Source)
(w9, increasing_design_parameter_decreases_performance_metric, Offset-Voltage)
(w9, increasing_design_parameter_decreases_performance_metric, Hysteresis-Error)
(l10, belongs_to, Current Source)
(l10, increasing_design_parameter_increases_performance_metric, Offset-Voltage)
(l10, increasing_design_parameter_increases_performance_metric, Hysteresis-Error)
(w10, belongs_to, Current Source)
(w10, increasing_design_parameter_decreases_performance_metric, Offset-Voltage)
(w10, increasing_design_parameter_decreases_performance_metric, Hysteresis-Error)
(l11, belongs_to, Differential Pair)
(l11, increasing_design_parameter_decreases_performance_metric, Gain)
(l11, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF))
(l11, increasing_design_parameter_increases_performance_metric, Offset-Voltage)
(w11, belongs_to, Differential Pair)
(w11, increasing_design_parameter_increases_performance_metric, Gain)
(w11, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF))
(w11, increasing_design_parameter_decreases_performance_metric, Offset-Voltage)
(l12, belongs_to, Differential Pair)
(l12, increasing_design_parameter_decreases_performance_metric, Gain)
(l12, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF))
(l12, increasing_design_parameter_increases_performance_metric, Offset-Voltage)
(w12, belongs_to, Differential Pair)
(w12, increasing_design_parameter_increases_performance_metric, Gain)
(w12, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF))
(w12, increasing_design_parameter_decreases_performance_metric, Offset-Voltage)
