P-Graph:
(Performance metrics: quiescent current (iq1), stability, output voltage difference)

(quiescent current (iq1), trade-off, stability)
(quiescent current (iq1), trade-off, output voltage difference)
(stability, trade-off, output voltage difference)

P-S-Graph:
(Sub-structures: differential pair, load stage, biasing network, feedback network)

(differential pair, influences, quiescent current (iq1))
(differential pair, influences, stability)
(differential pair, influences, output voltage difference)
(load stage, influences, quiescent current (iq1))
(load stage, influences, output voltage difference)
(biasing network, influences, quiescent current (iq1))
(biasing network, influences, stability)
(feedback network, influences, output voltage difference)
(feedback network, influences, stability)

P-S-X-Graph:
(Design Parameters: l1, w1, l2, w2, l3, w3, l4, w4, l5, w5, l6, w6, l7, w7, l8, w8, l9, w9, l10, w10, l11, w11, l12, w12, l13, w13, l14, w14, l15, w15, l16, w16, l17, w17, l18, w18, l19, w19, l20, w20)

(l1, belongs_to, differential pair)
(l1, increasing_design_paramteter_decreases_performance_metric, quiescent current (iq1))
(l1, increasing_design_paramteter_decreases_performance_metric, stability)
(w1, belongs_to, differential pair)
(w1, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(w1, increasing_design_paramteter_increases_performance_metric, stability)
(l2, belongs_to, differential pair)
(l2, increasing_design_paramteter_decreases_performance_metric, quiescent current (iq1))
(l2, increasing_design_paramteter_decreases_performance_metric, stability)
(w2, belongs_to, differential pair)
(w2, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(w2, increasing_design_paramteter_increases_performance_metric, stability)
(l3, belongs_to, load stage)
(l3, increasing_design_paramteter_decreases_performance_metric, output voltage difference)
(w3, belongs_to, load stage)
(w3, increasing_design_paramteter_increases_performance_metric, output voltage difference)
(l4, belongs_to, load stage)
(l4, increasing_design_paramteter_decreases_performance_metric, output voltage difference)
(w4, belongs_to, load stage)
(w4, increasing_design_paramteter_increases_performance_metric, output voltage difference)
(l5, belongs_to, biasing network)
(l5, increasing_design_paramteter_decreases_performance_metric, quiescent current (iq1))
(l5, increasing_design_paramteter_decreases_performance_metric, stability)
(w5, belongs_to, biasing network)
(w5, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(w5, increasing_design_paramteter_increases_performance_metric, stability)
(l6, belongs_to, feedback network)
(l6, increasing_design_paramteter_decreases_performance_metric, output voltage difference)
(l6, increasing_design_paramteter_decreases_performance_metric, stability)
(w6, belongs_to, feedback network)
(w6, increasing_design_paramteter_increases_performance_metric, output voltage difference)
(w6, increasing_design_paramteter_increases_performance_metric, stability)
(l7, belongs_to, differential pair)
(l7, increasing_design_paramteter_decreases_performance_metric, quiescent current (iq1))
(l7, increasing_design_paramteter_decreases_performance_metric, stability)
(w7, belongs_to, differential pair)
(w7, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(w7, increasing_design_paramteter_increases_performance_metric, stability)
(l8, belongs_to, differential pair)
(l8, increasing_design_paramteter_decreases_performance_metric, quiescent current (iq1))
(l8, increasing_design_paramteter_decreases_performance_metric, stability)
(w8, belongs_to, differential pair)
(w8, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(w8, increasing_design_paramteter_increases_performance_metric, stability)
(l9, belongs_to, differential pair)
(l9, increasing_design_paramteter_decreases_performance_metric, quiescent current (iq1))
(l9, increasing_design_paramteter_decreases_performance_metric, stability)
(w9, belongs_to, differential pair)
(w9, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(w9, increasing_design_paramteter_increases_performance_metric, stability)
(l10, belongs_to, differential pair)
(l10, increasing_design_paramteter_decreases_performance_metric, quiescent current (iq1))
(l10, increasing_design_paramteter_decreases_performance_metric, stability)
(w10, belongs_to, differential pair)
(w10, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(w10, increasing_design_paramteter_increases_performance_metric, stability)
(l11, belongs_to, load stage)
(l11, increasing_design_paramteter_decreases_performance_metric, output voltage difference)
(w11, belongs_to, load stage)
(w11, increasing_design_paramteter_increases_performance_metric, output voltage difference)
(l12, belongs_to, load stage)
(l12, increasing_design_paramteter_decreases_performance_metric, output voltage difference)
(w12, belongs_to, load stage)
(w12, increasing_design_paramteter_increases_performance_metric, output voltage difference)
(l13, belongs_to, biasing network)
(l13, increasing_design_paramteter_decreases_performance_metric, quiescent current (iq1))
(l13, increasing_design_paramteter_decreases_performance_metric, stability)
(w13, belongs_to, biasing network)
(w13, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(w13, increasing_design_paramteter_increases_performance_metric, stability)
(l14, belongs_to, feedback network)
(l14, increasing_design_paramteter_decreases_performance_metric, output voltage difference)
(l14, increasing_design_paramteter_decreases_performance_metric, stability)
(w14, belongs_to, feedback network)
(w14, increasing_design_paramteter_increases_performance_metric, output voltage difference)
(w14, increasing_design_paramteter_increases_performance_metric, stability)
(l15, belongs_to, differential pair)
(l15, increasing_design_paramteter_decreases_performance_metric, quiescent current (iq1))
(l15, increasing_design_paramteter_decreases_performance_metric, stability)
(w15, belongs_to, differential pair)
(w15, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(w15, increasing_design_paramteter_increases_performance_metric, stability)
(l16, belongs_to, differential pair)
(l16, increasing_design_paramteter_decreases_performance_metric, quiescent current (iq1))
(l16, increasing_design_paramteter_decreases_performance_metric, stability)
(w16, belongs_to, differential pair)
(w16, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(w16, increasing_design_paramteter_increases_performance_metric, stability)
(l17, belongs_to, load stage)
(l17, increasing_design_paramteter_decreases_performance_metric, output voltage difference)
(w17, belongs_to, load stage)
(w17, increasing_design_paramteter_increases_performance_metric, output voltage difference)
(l18, belongs_to, load stage)
(l18, increasing_design_paramteter_decreases_performance_metric, output voltage difference)
(w18, belongs_to, load stage)
(w18, increasing_design_paramteter_increases_performance_metric, output voltage difference)
(l19, belongs_to, biasing network)
(l19, increasing_design_paramteter_decreases_performance_metric, quiescent current (iq1))
(l19, increasing_design_paramteter_decreases_performance_metric, stability)
(w19, belongs_to, biasing network)
(w19, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(w19, increasing_design_paramteter_increases_performance_metric, stability)
(l20, belongs_to, feedback network)
(l20, increasing_design_paramteter_decreases_performance_metric, output voltage difference)
(l20, increasing_design_paramteter_decreases_performance_metric, stability)
(w20, belongs_to, feedback network)
(w20, increasing_design_paramteter_increases_performance_metric, output voltage difference)
(w20, increasing_design_paramteter_increases_performance_metric, stability)
