P-Graph:
(Performance metrics: Gain, CMRR, GBW, Phase Margin)  
(Gain, trade-off, CMRR)  
(Gain, trade-off, GBW)  
(Gain, direct relationship, Phase Margin)  
(CMRR, trade-off, GBW)  
(CMRR, direct relationship, Phase Margin)  
(GBW, trade-off, Phase Margin)  

P-S-Graph:
(Sub-structures: Differential Pair, Current Mirror, Load Stage)  
(Differential Pair, influences, Gain)  
(Differential Pair, influences, CMRR)  
(Differential Pair, influences, GBW)  
(Current Mirror, influences, Gain)  
(Current Mirror, influences, CMRR)  
(Load Stage, influences, Gain)  
(Load Stage, influences, GBW)  
(Load Stage, influences, Phase Margin)  

P-S-X-Graph:
(Design Parameters: l1, w1, l2, w2, l3, w3, l4, w4, l5, w5, l6, w6, l7, w7, l8, w8, r1, c1)  
(l1, belongs_to, Differential Pair)  
(l1, increasing_design_parameter_increases_performance_metric, Gain)  
(l1, increasing_design_parameter_decreases_performance_metric, GBW)  
(w1, belongs_to, Differential Pair)  
(w1, increasing_design_parameter_increases_performance_metric, CMRR)  
(w1, increasing_design_parameter_decreases_performance_metric, Gain)  
(l2, belongs_to, Differential Pair)  
(l2, increasing_design_parameter_increases_performance_metric, GBW)  
(l2, increasing_design_parameter_decreases_performance_metric, Gain)  
(w2, belongs_to, Differential Pair)  
(w2, increasing_design_parameter_increases_performance_metric, CMRR)  
(w2, increasing_design_parameter_decreases_performance_metric, GBW)  
(l3, belongs_to, Differential Pair)  
(l3, increasing_design_parameter_increases_performance_metric, Gain)  
(l3, increasing_design_parameter_decreases_performance_metric, GBW)  
(w3, belongs_to, Differential Pair)  
(w3, increasing_design_parameter_increases_performance_metric, CMRR)  
(w3, increasing_design_parameter_decreases_performance_metric, Gain)  
(l4, belongs_to, Differential Pair)  
(l4, increasing_design_parameter_increases_performance_metric, GBW)  
(l4, increasing_design_parameter_decreases_performance_metric, Gain)  
(w4, belongs_to, Differential Pair)  
(w4, increasing_design_parameter_increases_performance_metric, CMRR)  
(w4, increasing_design_parameter_decreases_performance_metric, GBW)  
(l5, belongs_to, Current Mirror)  
(l5, increasing_design_parameter_increases_performance_metric, Gain)  
(l5, increasing_design_parameter_decreases_performance_metric, CMRR)  
(w5, belongs_to, Current Mirror)  
(w5, increasing_design_parameter_increases_performance_metric, CMRR)  
(w5, increasing_design_parameter_decreases_performance_metric, Gain)  
(l6, belongs_to, Current Mirror)  
(l6, increasing_design_parameter_increases_performance_metric, Gain)  
(l6, increasing_design_parameter_decreases_performance_metric, CMRR)  
(w6, belongs_to, Current Mirror)  
(w6, increasing_design_parameter_increases_performance_metric, CMRR)  
(w6, increasing_design_parameter_decreases_performance_metric, Gain)  
(l7, belongs_to, Load Stage)  
(l7, increasing_design_parameter_increases_performance_metric, Gain)  
(l7, increasing_design_parameter_decreases_performance_metric, GBW)  
(w7, belongs_to, Load Stage)  
(w7, increasing_design_parameter_increases_performance_metric, GBW)  
(w7, increasing_design_parameter_decreases_performance_metric, Phase Margin)  
(l8, belongs_to, Load Stage)  
(l8, increasing_design_parameter_increases_performance_metric, GBW)  
(l8, increasing_design_parameter_decreases_performance_metric, Phase Margin)  
(w8, belongs_to, Load Stage)  
(w8, increasing_design_parameter_increases_performance_metric, GBW)  
(w8, increasing_design_parameter_decreases_performance_metric, Phase Margin)  
(r1, belongs_to, Load Stage)  
(r1, increasing_design_parameter_increases_performance_metric, Phase Margin)  
(r1, increasing_design_parameter_decreases_performance_metric, GBW)  
(c1, belongs_to, Load Stage)  
(c1, increasing_design_parameter_increases_performance_metric, Phase Margin)  
(c1, increasing_design_parameter_decreases_performance_metric, GBW)
