P-Graph:
(Performance metrics: Gain, CMRR, GBW, PM)
(Gain, trade-off, GBW)
(Gain, direct relationship, CMRR)
(CMRR, direct relationship, PM)

P-S-Graph:
(Sub-structures: Differential_Pair, Load_Stage, Biasing_Network)
(Differential_Pair, influences, Gain)
(Differential_Pair, influences, CMRR)
(Load_Stage, influences, Gain)
(Load_Stage, influences, GBW)
(Biasing_Network, influences, PM)

P-S-X-Graph:
(Design Parameters: l1, w1, l2, w2, l3, w3, l4, w4, l5, w5, l6, w6, l7, w7, l8, w8, r1, c1)
(l1, belongs_to, Differential_Pair)
(l1, increasing_design_paramteter_decreases_performance_metric, Gain)
(l1, increasing_design_paramteter_decreases_performance_metric, CMRR)
(w1, belongs_to, Differential_Pair)
(w1, increasing_design_paramteter_increases_performance_metric, Gain)
(w1, increasing_design_paramteter_increases_performance_metric, CMRR)
(l2, belongs_to, Load_Stage)
(l2, increasing_design_paramteter_decreases_performance_metric, Gain)
(l2, increasing_design_paramteter_decreases_performance_metric, GBW)
(w2, belongs_to, Load_Stage)
(w2, increasing_design_paramteter_increases_performance_metric, Gain)
(w2, increasing_design_paramteter_increases_performance_metric, GBW)
(l3, belongs_to, Differential_Pair)
(l3, increasing_design_paramteter_decreases_performance_metric, Gain)
(l3, increasing_design_paramteter_decreases_performance_metric, CMRR)
(w3, belongs_to, Differential_Pair)
(w3, increasing_design_paramteter_increases_performance_metric, Gain)
(w3, increasing_design_paramteter_increases_performance_metric, CMRR)
(l4, belongs_to, Load_Stage)
(l4, increasing_design_paramteter_decreases_performance_metric, Gain)
(l4, increasing_design_paramteter_decreases_performance_metric, GBW)
(w4, belongs_to, Load_Stage)
(w4, increasing_design_paramteter_increases_performance_metric, Gain)
(w4, increasing_design_paramteter_increases_performance_metric, GBW)
(l5, belongs_to, Biasing_Network)
(l5, increasing_design_paramteter_decreases_performance_metric, PM)
(w5, belongs_to, Biasing_Network)
(w5, increasing_design_paramteter_increases_performance_metric, PM)
(l6, belongs_to, Biasing_Network)
(l6, increasing_design_paramteter_decreases_performance_metric, PM)
(w6, belongs_to, Biasing_Network)
(w6, increasing_design_paramteter_increases_performance_metric, PM)
(l7, belongs_to, Load_Stage)
(l7, increasing_design_paramteter_decreases_performance_metric, Gain)
(l7, increasing_design_paramteter_decreases_performance_metric, GBW)
(w7, belongs_to, Load_Stage)
(w7, increasing_design_paramteter_increases_performance_metric, Gain)
(w7, increasing_design_paramteter_increases_performance_metric, GBW)
(l8, belongs_to, Biasing_Network)
(l8, increasing_design_paramteter_decreases_performance_metric, PM)
(w8, belongs_to, Biasing_Network)
(w8, increasing_design_paramteter_increases_performance_metric, PM)
(r1, belongs_to, Load_Stage)
(r1, increasing_design_paramteter_decreases_performance_metric, GBW)
(c1, belongs_to, Load_Stage)
(c1, increasing_design_paramteter_decreases_performance_metric, GBW)
