P-Graph:
(Gain, trade-off, CMRR)
(Gain, trade-off, GBW)
(Gain, trade-off, GBW)
(GBW, trade-off, PM)
(GBW, trade-off, PM)
(CMRR, trade-off, GBW)

P-S-Graph:
(Differential Pair, Load Stage, Current Mirror)
(Differential Pair, influences, Gain)
(Differential Pair, influences, Gain)
(Differential Pair, influences, CMRR)
(Differential Pair, influences, CMRR)
(Differential Pair, influences, GBW)
(Differential Pair, influences, GBW)
(Differential Pair, influences, PM)
(Differential Pair, influences, PM)
(Load Stage, influences, Gain)
(Load Stage, influences, Gain)
(Load Stage, influences, GBW)
(Load Stage, influences, GBW)
(Load Stage, influences, PM)
(Load Stage, influences, PM)
(Current Mirror, influences, CMRR)
(Current Mirror, influences, CMRR)
(Current Mirror, influences, GBW)
(Current Mirror, influences, GBW)
(Current Mirror, influences, PM)
(Current Mirror, influences, PM)
(Sub-structures: Differential Pair, Current Mirror, Load Stage)
(Current Mirror, influences, Gain)
(Load Stage, influences, CMRR)
(Sub-structures: Differential_Pair, Load_Stage, Biasing_Network)
(Differential_Pair, influences, Gain)
(Differential_Pair, influences, CMRR)
(Load_Stage, influences, Gain)
(Load_Stage, influences, GBW)
(Biasing_Network, influences, PM)

P-S-X-Graph:
(l1, belongs_to, Differential Pair)
(l1, increasing_design_paramteter_decreases_performance_metric, GBW)
(l1, increasing_design_paramteter_decreases_performance_metric, GBW)
(w1, belongs_to, Differential Pair)
(w1, increasing_design_paramteter_decreases_performance_metric, GBW)
(w1, increasing_design_paramteter_decreases_performance_metric, GBW)
(l2, belongs_to, Load Stage)
(w2, belongs_to, Load Stage)
(l3, belongs_to, Differential Pair)
(l3, increasing_design_paramteter_decreases_performance_metric, GBW)
(l3, increasing_design_paramteter_decreases_performance_metric, GBW)
(w3, belongs_to, Differential Pair)
(w3, increasing_design_paramteter_decreases_performance_metric, GBW)
(l4, belongs_to, Differential Pair)
(w4, belongs_to, Differential Pair)
(l5, belongs_to, Current Mirror)
(l5, increasing_design_paramteter_decreases_performance_metric, GBW)
(l5, increasing_design_paramteter_decreases_performance_metric, GBW)
(w5, belongs_to, Current Mirror)
(w5, increasing_design_paramteter_decreases_performance_metric, GBW)
(l6, belongs_to, Current Mirror)
(l6, increasing_design_paramteter_decreases_performance_metric, GBW)
(l6, increasing_design_paramteter_decreases_performance_metric, GBW)
(w6, belongs_to, Current Mirror)
(w6, increasing_design_paramteter_decreases_performance_metric, GBW)
(l7, belongs_to, Load Stage)
(w7, belongs_to, Load Stage)
(l8, belongs_to, Load Stage)
(w8, belongs_to, Load Stage)
(r1, belongs_to, Load Stage)
(r1, increasing_design_paramteter_decreases_performance_metric, PM)
(r1, increasing_design_paramteter_decreases_performance_metric, PM)
(c1, belongs_to, Load Stage)
(c1, increasing_design_paramteter_decreases_performance_metric, PM)
(c1, increasing_design_paramteter_decreases_performance_metric, PM)
(l5, belongs_to, Load Stage)
(w5, belongs_to, Load Stage)
(l6, belongs_to, Load Stage)
(w6, belongs_to, Load Stage)
(w1, increasing_design_paramteter_increases_performance_metric, Gain)
(w1, increasing_design_paramteter_increases_performance_metric, Gain)
(l2, increasing_design_paramteter_decreases_performance_metric, GBW)
(w2, increasing_design_paramteter_increases_performance_metric, Gain)
(w2, increasing_design_paramteter_increases_performance_metric, Gain)
(w2, increasing_design_paramteter_decreases_performance_metric, GBW)
(w3, increasing_design_paramteter_increases_performance_metric, Gain)
(w3, increasing_design_paramteter_increases_performance_metric, Gain)
(w3, increasing_design_paramteter_increases_performance_metric, CMRR)
(w3, increasing_design_paramteter_increases_performance_metric, CMRR)
(l4, increasing_design_paramteter_decreases_performance_metric, GBW)
(l4, increasing_design_paramteter_increases_performance_metric, CMRR)
(w4, increasing_design_paramteter_increases_performance_metric, Gain)
(w4, increasing_design_paramteter_increases_performance_metric, Gain)
(w4, increasing_design_paramteter_increases_performance_metric, CMRR)
(l5, increasing_design_paramteter_increases_performance_metric, Gain)
(l5, increasing_design_paramteter_increases_performance_metric, CMRR)
(w5, increasing_design_paramteter_increases_performance_metric, Gain)
(w5, increasing_design_paramteter_increases_performance_metric, CMRR)
(l6, increasing_design_paramteter_increases_performance_metric, Gain)
(l6, increasing_design_paramteter_increases_performance_metric, CMRR)
(w6, increasing_design_paramteter_increases_performance_metric, Gain)
(w6, increasing_design_paramteter_increases_performance_metric, CMRR)
(l7, increasing_design_paramteter_decreases_performance_metric, GBW)
(l7, increasing_design_paramteter_increases_performance_metric, CMRR)
(w7, increasing_design_paramteter_decreases_performance_metric, GBW)
(w7, increasing_design_paramteter_increases_performance_metric, CMRR)
(l8, increasing_design_paramteter_decreases_performance_metric, GBW)
(l8, increasing_design_paramteter_increases_performance_metric, CMRR)
(w8, increasing_design_paramteter_decreases_performance_metric, GBW)
(w8, increasing_design_paramteter_increases_performance_metric, CMRR)
(r1, increasing_design_paramteter_increases_performance_metric, Gain)
(r1, increasing_design_paramteter_decreases_performance_metric, CMRR)
(c1, increasing_design_paramteter_increases_performance_metric, Gain)
(c1, increasing_design_paramteter_decreases_performance_metric, CMRR)
(l1, belongs_to, Differential_Pair)
(l1, increasing_design_paramteter_decreases_performance_metric, CMRR)
(w1, belongs_to, Differential_Pair)
(w1, increasing_design_paramteter_increases_performance_metric, CMRR)
(l2, belongs_to, Load_Stage)
(w2, belongs_to, Load_Stage)
(l3, belongs_to, Differential_Pair)
(w3, belongs_to, Differential_Pair)
(l4, belongs_to, Load_Stage)
(w4, belongs_to, Load_Stage)
