P-Graph:
(Gain, trade-off, Unity Gain Frequency (UGF)) :
(Gain, trade-off, Hysteresis-Error) :
(Gain, trade-off, Offset-Voltage) :
(Unity Gain Frequency (UGF), mild influence, Hysteresis-Error) :
(Unity Gain Frequency (UGF), mild influence, Offset-Voltage) :
(Hysteresis-Error, direct relationship, Offset-Voltage) :
(Gain, trade-off, Unity_Gain_Frequency)
(Gain, trade-off, Hysteresis_Error)
(Gain, trade-off, Offset_Voltage)
(Unity_Gain_Frequency, mild influence, Hysteresis_Error)

P-S-Graph:
(Sub-structures: Differential Pair, Load Stage, Output Stage) :
(Differential Pair, influences, Gain) :
(Differential Pair, influences, Offset-Voltage) :
(Load Stage, influences, Gain) :
(Load Stage, influences, Unity Gain Frequency (UGF)) :
(Output Stage, influences, Hysteresis-Error) :
(Output Stage, influences, Offset-Voltage) :
(Differential Pair, influences, Hysteresis-Error) :
(Differential_Pair, influences, Gain)
(Differential_Pair, influences, Offset_Voltage)
(Differential_Pair, influences, Unity_Gain_Frequency)
(Active_Load, influences, Gain)
(Active_Load, influences, Unity_Gain_Frequency)
(Regenerative_Feedback_Pair, influences, Hysteresis_Error)
(Regenerative_Feedback_Pair, influences, Gain)
(Output_Stage, influences, Gain)
(Output_Stage, influences, Offset_Voltage)
(Bias_Current_Source, influences, Gain)
(Bias_Current_Source, influences, Unity_Gain_Frequency)
(Load_Capacitor, influences, Unity_Gain_Frequency)

P-S-X-Graph:
(l1, belongs_to, Differential Pair) :
(w1, belongs_to, Differential Pair) :
(l2, belongs_to, Differential Pair) :
(w2, belongs_to, Differential Pair) :
(l3, belongs_to, Load Stage) :
(w3, belongs_to, Load Stage) :
(l4, belongs_to, Load Stage) :
(w4, belongs_to, Load Stage) :
(l5, belongs_to, Load Stage) :
(w5, belongs_to, Load Stage) :
(l6, belongs_to, Load Stage) :
(w6, belongs_to, Load Stage) :
(l7, belongs_to, Output Stage) :
(w7, belongs_to, Output Stage) :
(l8, belongs_to, Output Stage) :
(w8, belongs_to, Output Stage) :
(l9, belongs_to, Output Stage) :
(w9, belongs_to, Output Stage) :
(l10, belongs_to, Output Stage) :
(w10, belongs_to, Output Stage) :
(l11, belongs_to, Differential Pair) :
(w11, belongs_to, Differential Pair) :
(l12, belongs_to, Differential Pair) :
(w12, belongs_to, Differential Pair) :
(l1, increasing_design_parameter_increases_performance_metric, Gain) :
(w1, increasing_design_parameter_increases_performance_metric, Gain) :
(l2, increasing_design_parameter_increases_performance_metric, Gain) :
(w2, increasing_design_parameter_increases_performance_metric, Gain) :
(l3, increasing_design_parameter_increases_performance_metric, Gain) :
(w3, increasing_design_parameter_increases_performance_metric, Gain) :
(l4, increasing_design_parameter_increases_performance_metric, Gain) :
(w4, increasing_design_parameter_increases_performance_metric, Gain) :
(l5, increasing_design_parameter_increases_performance_metric, Gain) :
(w5, increasing_design_parameter_increases_performance_metric, Gain) :
(l6, increasing_design_parameter_increases_performance_metric, Gain) :
(w6, increasing_design_parameter_increases_performance_metric, Gain) :
(l7, increasing_design_parameter_increases_performance_metric, Hysteresis-Error) :
(w7, increasing_design_parameter_increases_performance_metric, Hysteresis-Error) :
(l8, increasing_design_parameter_increases_performance_metric, Hysteresis-Error) :
(w8, increasing_design_parameter_increases_performance_metric, Hysteresis-Error) :
(l9, increasing_design_parameter_increases_performance_metric, Hysteresis-Error) :
(w9, increasing_design_parameter_increases_performance_metric, Hysteresis-Error) :
(l10, increasing_design_parameter_increases_performance_metric, Hysteresis-Error) :
(w10, increasing_design_parameter_increases_performance_metric, Hysteresis-Error) :
(l11, increasing_design_parameter_increases_performance_metric, Offset-Voltage) :
(w11, increasing_design_parameter_increases_performance_metric, Offset-Voltage) :
(l12, increasing_design_parameter_increases_performance_metric, Offset-Voltage) :
(w12, increasing_design_parameter_increases_performance_metric, Offset-Voltage) :
(l1, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF)) :
(w1, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF)) :
(l2, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF)) :
(w2, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF)) :
(l3, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF)) :
(w3, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF)) :
(l4, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF)) :
(w4, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF)) :
(l5, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF)) :
(w5, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF)) :
(l6, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF)) :
(w6, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF)) :
(l7, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF)) :
(w7, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF)) :
(l8, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF)) :
(w8, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF)) :
(l9, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF)) :
(w9, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF)) :
(l10, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF)) :
(w10, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF)) :
(l11, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF)) :
(w11, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF)) :
(l12, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF)) :
(w12, increasing_design_parameter_decreases_performance_metric, Unity Gain Frequency (UGF)) :
(l1, belongs_to, Differential_Pair)
(w1, belongs_to, Differential_Pair)
(l2, belongs_to, Differential_Pair)
(w2, belongs_to, Differential_Pair)
(l3, belongs_to, Active_Load)
(w3, belongs_to, Active_Load)
(l4, belongs_to, Active_Load)
(w4, belongs_to, Active_Load)
(l5, belongs_to, Regenerative_Feedback_Pair)
(w5, belongs_to, Regenerative_Feedback_Pair)
(l6, belongs_to, Regenerative_Feedback_Pair)
(w6, belongs_to, Regenerative_Feedback_Pair)
(l7, belongs_to, Regenerative_Feedback_Pair)
(w7, belongs_to, Regenerative_Feedback_Pair)
(l8, belongs_to, Regenerative_Feedback_Pair)
(w8, belongs_to, Regenerative_Feedback_Pair)
(l9, belongs_to, Output_Stage)
(w9, belongs_to, Output_Stage)
(l10, belongs_to, Output_Stage)
(w10, belongs_to, Output_Stage)
(l11, belongs_to, Bias_Current_Source)
(w11, belongs_to, Bias_Current_Source)
(l12, belongs_to, Bias_Current_Source)
(w12, belongs_to, Bias_Current_Source)
(w1, increasing_design_paramteter_increases_performance_metric, Gain)
(w2, increasing_design_paramteter_increases_performance_metric, Gain)
