P-Graph:
(Performance metrics: quiescent current (iq1), stability, output voltage difference)
(quiescent current (iq1), trade-off, stability)
(quiescent current (iq1), trade-off, output voltage difference)
(stability, trade-off, output voltage difference)
(Performance metrics: quiescent_current, stability, output_voltage_difference)
(quiescent_current, trade-off, output_voltage_difference)

P-S-Graph:
(differential pair, influences, stability)
(differential pair, influences, output voltage difference)
(current mirror, influences, quiescent current (iq1))
(current mirror, influences, stability)
(load stage, influences, output voltage difference)
(feedback loop, influences, stability)
(feedback loop, influences, output voltage difference)
(Differential_Pair, influences, stability)
(Differential_Pair, influences, output_voltage_difference)
(Current_Mirror, influences, quiescent_current)
(Current_Mirror, influences, stability)
(Output_Stage, influences, output_voltage_difference)
(Output_Stage, influences, quiescent_current)
(Feedback_Network, influences, stability)
(Feedback_Network, influences, output_voltage_difference)
(Biasing_Network, influences, quiescent_current)

P-S-X-Graph:
(l1, belongs_to, differential pair)
(w1, belongs_to, differential pair)
(l2, belongs_to, differential pair)
(w2, belongs_to, differential pair)
(l2, increasing_design_parameter_increases_performance_metric, stability)
(w2, increasing_design_parameter_increases_performance_metric, stability)
(l3, belongs_to, current mirror)
(w3, belongs_to, current mirror)
(l4, belongs_to, current mirror)
(w4, belongs_to, current mirror)
(l3, increasing_design_parameter_increases_performance_metric, quiescent current (iq1))
(w3, increasing_design_parameter_increases_performance_metric, quiescent current (iq1))
(l4, increasing_design_parameter_increases_performance_metric, quiescent current (iq1))
(w4, increasing_design_parameter_increases_performance_metric, quiescent current (iq1))
(l5, belongs_to, load stage)
(w5, belongs_to, load stage)
(l6, belongs_to, load stage)
(w6, belongs_to, load stage)
(l5, increasing_design_parameter_increases_performance_metric, output voltage difference)
(w5, increasing_design_parameter_increases_performance_metric, output voltage difference)
(l6, increasing_design_parameter_increases_performance_metric, output voltage difference)
(w6, increasing_design_parameter_increases_performance_metric, output voltage difference)
(l7, belongs_to, feedback loop)
(w7, belongs_to, feedback loop)
(l8, belongs_to, feedback loop)
(w8, belongs_to, feedback loop)
(l7, increasing_design_parameter_increases_performance_metric, stability)
(w7, increasing_design_parameter_increases_performance_metric, stability)
(l8, increasing_design_parameter_increases_performance_metric, stability)
(w8, increasing_design_parameter_increases_performance_metric, stability)
(l9, belongs_to, differential pair)
(w9, belongs_to, differential pair)
(l10, belongs_to, differential pair)
(w10, belongs_to, differential pair)
(l9, increasing_design_parameter_increases_performance_metric, stability)
(w9, increasing_design_parameter_increases_performance_metric, stability)
(l10, increasing_design_parameter_increases_performance_metric, stability)
(w10, increasing_design_parameter_increases_performance_metric, stability)
(l11, belongs_to, current mirror)
(w11, belongs_to, current mirror)
(l12, belongs_to, current mirror)
(w12, belongs_to, current mirror)
(l11, increasing_design_parameter_increases_performance_metric, quiescent current (iq1))
(w11, increasing_design_parameter_increases_performance_metric, quiescent current (iq1))
