P-Graph:
(Gain, direct relationship, Phase Margin)
(CMRR, direct relationship, Phase Margin)
(Gain, trade-off, GBW)
(Gain, trade-off, PM)
(Gain, direct relationship, CMRR)
(CMRR, mild influence, PM)
(GBW, trade-off, PM)

P-S-Graph:
(Sub-structures: Differential Pair, Current Mirror, Load Stage)
(Differential Pair, influences, Gain)
(Differential Pair, influences, Gain)
(Differential Pair, influences, CMRR)
(Differential Pair, influences, CMRR)
(Differential Pair, influences, GBW)
(Differential Pair, influences, GBW)
(Current Mirror, influences, Gain)
(Current Mirror, influences, Gain)
(Current Mirror, influences, CMRR)
(Current Mirror, influences, CMRR)
(Load Stage, influences, Gain)
(Load Stage, influences, GBW)
(Load Stage, influences, Phase Margin)
(Active Load, influences, Gain)
(Active Load, influences, CMRR)
(Active Load, influences, PM)
(Compensation Network, influences, PM)
(Compensation Network, influences, GBW)
(Output Stage, influences, Gain)
(Output Stage, influences, PM)
(Output Stage, influences, GBW)

P-S-X-Graph:
(l1, belongs_to, Differential Pair)
(l1, increasing_design_parameter_decreases_performance_metric, GBW)
(w1, belongs_to, Differential Pair)
(w1, increasing_design_parameter_increases_performance_metric, CMRR)
(l2, belongs_to, Differential Pair)
(l2, increasing_design_parameter_increases_performance_metric, GBW)
(l2, increasing_design_parameter_decreases_performance_metric, Gain)
(w2, belongs_to, Differential Pair)
(w2, increasing_design_parameter_increases_performance_metric, CMRR)
(l3, belongs_to, Differential Pair)
(l3, belongs_to, Differential Pair)
(w3, belongs_to, Differential Pair)
(w3, belongs_to, Differential Pair)
(l4, belongs_to, Differential Pair)
(l4, belongs_to, Differential Pair)
(l4, increasing_design_parameter_decreases_performance_metric, Gain)
(w4, belongs_to, Differential Pair)
(w4, belongs_to, Differential Pair)
(l5, belongs_to, Current Mirror)
(l5, belongs_to, Current Mirror)
(l5, increasing_design_parameter_increases_performance_metric, Gain)
(l5, increasing_design_parameter_decreases_performance_metric, CMRR)
(w5, belongs_to, Current Mirror)
(w5, belongs_to, Current Mirror)
(w5, increasing_design_parameter_increases_performance_metric, CMRR)
(l6, belongs_to, Current Mirror)
(l6, belongs_to, Current Mirror)
(l6, increasing_design_parameter_increases_performance_metric, Gain)
(w6, belongs_to, Current Mirror)
(w6, belongs_to, Current Mirror)
(w6, increasing_design_parameter_increases_performance_metric, CMRR)
(l7, belongs_to, Load Stage)
(w7, belongs_to, Load Stage)
(w7, increasing_design_parameter_increases_performance_metric, GBW)
(w7, increasing_design_parameter_decreases_performance_metric, Phase Margin)
(l8, belongs_to, Load Stage)
(l8, increasing_design_parameter_decreases_performance_metric, Phase Margin)
(w8, belongs_to, Load Stage)
(w8, increasing_design_parameter_decreases_performance_metric, Phase Margin)
(r1, belongs_to, Load Stage)
(r1, increasing_design_parameter_increases_performance_metric, Phase Margin)
(r1, increasing_design_parameter_decreases_performance_metric, GBW)
(c1, belongs_to, Load Stage)
(c1, increasing_design_parameter_increases_performance_metric, Phase Margin)
(l1, belongs_to, Current Mirror)
(w1, belongs_to, Current Mirror)
(l2, belongs_to, Current Mirror)
(w2, belongs_to, Current Mirror)
(l7, belongs_to, Output Stage)
(w7, belongs_to, Output Stage)
(l8, belongs_to, Output Stage)
(w8, belongs_to, Output Stage)
(r1, belongs_to, Compensation Network)
(c1, belongs_to, Compensation Network)
(w3, increasing_design_paramteter_increases_performance_metric, Gain)
(l3, increasing_design_paramteter_increases_performance_metric, Gain)
(w4, increasing_design_paramteter_increases_performance_metric, Gain)
(w1, increasing_design_paramteter_increases_performance_metric, Gain)
(w2, increasing_design_paramteter_increases_performance_metric, Gain)
(w5, increasing_design_paramteter_increases_performance_metric, Gain)
(w7, increasing_design_paramteter_increases_performance_metric, PM)
(r1, increasing_design_paramteter_increases_performance_metric, PM)
(c1, increasing_design_paramteter_decreases_performance_metric, GBW)
(c1, increasing_design_paramteter_increases_performance_metric, PM)

