P-Graph:
(Gain, trade-off, UGF)
(Hysteresis-Error, trade-off, Offset-Voltage)
(UGF, direct relationship, Hysteresis-Error)

P-S-Graph:
(Differential Pair, influences, Gain)
(Differential Pair, influences, Offset-Voltage)
(Load Stage, influences, UGF)
(Load Stage, influences, Hysteresis-Error)
(Current Source, influences, Offset-Voltage)
(Current Source, influences, Hysteresis-Error)
(Hysteresis Circuit, influences, Hysteresis-Error)
(Hysteresis Circuit, influences, Offset-Voltage)

P-S-X-Graph:
(l1, belongs_to, Differential Pair)
(w1, belongs_to, Differential Pair)
(l2, belongs_to, Differential Pair)
(w2, belongs_to, Differential Pair)
(l3, belongs_to, Load Stage)
(w3, belongs_to, Load Stage)
(l4, belongs_to, Load Stage)
(w4, belongs_to, Load Stage)
(l5, belongs_to, Load Stage)
(w5, belongs_to, Load Stage)
(l6, belongs_to, Load Stage)
(w6, belongs_to, Load Stage)
(l7, belongs_to, Load Stage)
(w7, belongs_to, Load Stage)
(l8, belongs_to, Load Stage)
(w8, belongs_to, Load Stage)
(l9, belongs_to, Current Source)
(w9, belongs_to, Current Source)
(l10, belongs_to, Current Source)
(w10, belongs_to, Current Source)
(l11, belongs_to, Hysteresis Circuit)
(w11, belongs_to, Hysteresis Circuit)
(l12, belongs_to, Hysteresis Circuit)
(w12, belongs_to, Hysteresis Circuit)
(l1, increasing_design_param_decreases_performance_metric, Offset-Voltage)
(w1, increasing_design_param_decreases_performance_metric, Offset-Voltage)
(l2, increasing_design_param_decreases_performance_metric, Offset-Voltage)
(w2, increasing_design_param_decreases_performance_metric, Offset-Voltage)
(l3, increasing_design_param_increases_performance_metric, UGF)
(w3, increasing_design_param_increases_performance_metric, UGF)
(l3, increasing_design_param_decreases_performance_metric, Hysteresis-Error)
(w3, increasing_design_param_decreases_performance_metric, Hysteresis-Error)
(l4, increasing_design_param_increases_performance_metric, UGF)
(w4, increasing_design_param_increases_performance_metric, UGF)
(l4, increasing_design_param_decreases_performance_metric, Hysteresis-Error)
(w4, increasing_design_param_decreases_performance_metric, Hysteresis-Error)
(l5, increasing_design_param_increases_performance_metric, UGF)
(w5, increasing_design_param_increases_performance_metric, UGF)
(l6, increasing_design_param_increases_performance_metric, UGF)
(w6, increasing_design_param_increases_performance_metric, UGF)
(l7, increasing_design_param_increases_performance_metric, UGF)
(w7, increasing_design_param_increases_performance_metric, UGF)
(l7, increasing_design_param_decreases_performance_metric, Hysteresis-Error)
(w7, increasing_design_param_decreases_performance_metric, Hysteresis-Error)
(l8, increasing_design_param_increases_performance_metric, UGF)
(w8, increasing_design_param_increases_performance_metric, UGF)
(l8, increasing_design_param_decreases_performance_metric, Hysteresis-Error)
(w8, increasing_design_param_decreases_performance_metric, Hysteresis-Error)
(l9, increasing_design_param_increases_performance_metric, Offset-Voltage)
(w9, increasing_design_param_increases_performance_metric, Offset-Voltage)
(l9, increasing_design_param_decreases_performance_metric, Hysteresis-Error)
(w9, increasing_design_param_decreases_performance_metric, Hysteresis-Error)
(l10, increasing_design_param_increases_performance_metric, Offset-Voltage)
(w10, increasing_design_param_increases_performance_metric, Offset-Voltage)
(l10, increasing_design_param_decreases_performance_metric, Hysteresis-Error)
(w10, increasing_design_param_decreases_performance_metric, Hysteresis-Error)

