P-Graph:
(Gain, trade-off, Offset-voltage)
(Unity Gain Frequency, trade-off, Hysteresis-error)
(Offset-voltage, mild influence, Hysteresis-error)

P-S-Graph:
(Sub-structures: Differential Pair, Current Mirrors, Load Stages)
(Differential Pair, influences, Gain)
(Differential Pair, influences, Unity Gain Frequency)
(Current Mirrors, influences, Gain)
(Current Mirrors, influences, Unity Gain Frequency)
(Load Stages, influences, Offset-voltage)
(Load Stages, influences, Hysteresis-error)

P-S-X-Graph:
(l3, belongs_to, Current Mirrors)
(w3, belongs_to, Current Mirrors)
(l4, belongs_to, Current Mirrors)
(w4, belongs_to, Current Mirrors)
(l5, belongs_to, Load Stages)
(w5, belongs_to, Load Stages)
(l6, belongs_to, Load Stages)
(w6, belongs_to, Load Stages)
(l7, belongs_to, Load Stages)
(w7, belongs_to, Load Stages)
(l8, belongs_to, Load Stages)
(w8, belongs_to, Load Stages)
(l9, belongs_to, Current Mirrors)
(w9, belongs_to, Current Mirrors)
(l10, belongs_to, Current Mirrors)
(w10, belongs_to, Current Mirrors)
(l1, increasing_design_paramteter_decreases_performance_metric, Unity Gain Frequency)
(w1, increasing_design_paramteter_decreases_performance_metric, Unity Gain Frequency)
(l2, increasing_design_paramteter_decreases_performance_metric, Unity Gain Frequency)
(w2, increasing_design_paramteter_decreases_performance_metric, Unity Gain Frequency)
(w3, increasing_design_paramteter_increases_performance_metric, Gain)
(w4, increasing_design_paramteter_increases_performance_metric, Gain)
(l5, increasing_design_paramteter_increases_performance_metric, Offset-voltage)
(l5, increasing_design_paramteter_decreases_performance_metric, Hysteresis-error)
(w5, increasing_design_paramteter_increases_performance_metric, Offset-voltage)
(w5, increasing_design_paramteter_decreases_performance_metric, Hysteresis-error)
(l6, increasing_design_paramteter_increases_performance_metric, Offset-voltage)
(l6, increasing_design_paramteter_decreases_performance_metric, Hysteresis-error)
(w6, increasing_design_paramteter_increases_performance_metric, Offset-voltage)
(w6, increasing_design_paramteter_decreases_performance_metric, Hysteresis-error)
(l7, increasing_design_paramteter_increases_performance_metric, Offset-voltage)
(l7, increasing_design_paramteter_decreases_performance_metric, Hysteresis-error)
(w7, increasing_design_paramteter_increases_performance_metric, Offset-voltage)
(w7, increasing_design_paramteter_decreases_performance_metric, Hysteresis-error)
(l8, increasing_design_paramteter_increases_performance_metric, Offset-voltage)
(l8, increasing_design_paramteter_decreases_performance_metric, Hysteresis-error)
(w8, increasing_design_paramteter_increases_performance_metric, Offset-voltage)
(w8, increasing_design_paramteter_decreases_performance_metric, Hysteresis-error)
(l9, increasing_design_paramteter_decreases_performance_metric, Unity Gain Frequency)
(w9, increasing_design_paramteter_decreases_performance_metric, Unity Gain Frequency)
(l10, increasing_design_paramteter_decreases_performance_metric, Unity Gain Frequency)
(w10, increasing_design_paramteter_decreases_performance_metric, Unity Gain Frequency)
(l11, increasing_design_paramteter_decreases_performance_metric, Unity Gain Frequency)
(w11, increasing_design_paramteter_decreases_performance_metric, Unity Gain Frequency)
(l12, increasing_design_paramteter_decreases_performance_metric, Unity Gain Frequency)
(w12, increasing_design_paramteter_decreases_performance_metric, Unity Gain Frequency)

