P-Graph:
(Gain, trade-off, Unity Gain Frequency (UGF))

P-S-Graph:
(Sub-structures: Differential Pair, Load Stage, Current Source)
(Differential Pair, influences, Gain)
(Differential Pair, influences, Unity Gain Frequency (UGF))
(Differential Pair, influences, Offset-Voltage)
(Load Stage, influences, Gain)
(Load Stage, influences, Unity Gain Frequency (UGF))
(Current Source, influences, Offset-Voltage)
(Current Source, influences, Hysteresis-Error)

P-S-X-Graph:
(l1, belongs_to, Differential Pair)
(l1, increasing_design_parameter_increases_performance_metric, Offset-Voltage)
(w1, belongs_to, Differential Pair)
(w1, increasing_design_parameter_decreases_performance_metric, Offset-Voltage)
(l2, belongs_to, Differential Pair)
(l2, increasing_design_parameter_increases_performance_metric, Offset-Voltage)
(w2, belongs_to, Differential Pair)
(w2, increasing_design_parameter_decreases_performance_metric, Offset-Voltage)
(l3, belongs_to, Load Stage)
(w3, belongs_to, Load Stage)
(l4, belongs_to, Load Stage)
(w4, belongs_to, Load Stage)
(l5, belongs_to, Load Stage)
(w5, belongs_to, Load Stage)
(l6, belongs_to, Load Stage)
(w6, belongs_to, Load Stage)
(l7, belongs_to, Load Stage)
(w7, belongs_to, Load Stage)
(l8, belongs_to, Load Stage)
(w8, belongs_to, Load Stage)
(l9, belongs_to, Current Source)
(w9, belongs_to, Current Source)
(l10, belongs_to, Current Source)
(w10, belongs_to, Current Source)
(l11, belongs_to, Differential Pair)
(l11, increasing_design_parameter_increases_performance_metric, Offset-Voltage)
(w11, belongs_to, Differential Pair)
(w11, increasing_design_parameter_decreases_performance_metric, Offset-Voltage)
(l12, belongs_to, Differential Pair)
(l12, increasing_design_parameter_increases_performance_metric, Offset-Voltage)
(w12, belongs_to, Differential Pair)
(w12, increasing_design_parameter_decreases_performance_metric, Offset-Voltage)

