P-Graph:
(gain, trade-off, ugf)
(gain, direct_relationship, offset)
(hyst_err, mild_influence, offset)
(ugf, trade-off, hyst_err)

P-S-Graph:
(differential_pair, current_mirror, load_stage) :
(differential_pair, influences, gain)
(differential_pair, influences, offset)
(current_mirror, influences, gain)
(current_mirror, influences, ugf)
(load_stage, influences, ugf)
(load_stage, influences, hyst_err)

P-S-X-Graph:
(l1, belongs_to, differential_pair)
(w1, belongs_to, differential_pair)
(l2, belongs_to, differential_pair)
(w2, belongs_to, differential_pair)
(l3, belongs_to, current_mirror)
(w3, belongs_to, current_mirror)
(l4, belongs_to, load_stage)
(w4, belongs_to, load_stage)
(l5, belongs_to, load_stage)
(w5, belongs_to, load_stage)
(l6, belongs_to, load_stage)
(w6, belongs_to, load_stage)
(l7, belongs_to, load_stage)
(w7, belongs_to, load_stage)
(l8, belongs_to, load_stage)
(w8, belongs_to, load_stage)
(l9, belongs_to, load_stage)
(w9, belongs_to, load_stage)
(l10, belongs_to, load_stage)
(w10, belongs_to, load_stage)
(l11, belongs_to, load_stage)
(w11, belongs_to, load_stage)
(l12, belongs_to, load_stage)
(w12, belongs_to, load_stage)
(l1, increasing_design_paramteter_increases_performance_metric, gain)
(w1, increasing_design_paramteter_decreases_performance_metric, gain)
(l2, increasing_design_paramteter_increases_performance_metric, gain)
(w2, increasing_design_paramteter_decreases_performance_metric, gain)
(l3, increasing_design_paramteter_increases_performance_metric, ugf)
(w3, increasing_design_paramteter_decreases_performance_metric, ugf)
(l4, increasing_design_paramteter_increases_performance_metric, hyst_err)
(w4, increasing_design_paramteter_decreases_performance_metric, hyst_err)
(l5, increasing_design_paramteter_increases_performance_metric, offset)
(w5, increasing_design_paramteter_decreases_performance_metric, offset)
(l6, increasing_design_paramteter_increases_performance_metric, offset)
(w6, increasing_design_paramteter_decreases_performance_metric, offset)
(l7, increasing_design_paramteter_increases_performance_metric, gain)
(w7, increasing_design_paramteter_decreases_performance_metric, gain)
(l8, increasing_design_paramteter_increases_performance_metric, ugf)
(w8, increasing_design_paramteter_decreases_performance_metric, ugf)
(l9, increasing_design_paramteter_increases_performance_metric, hyst_err)
(w9, increasing_design_paramteter_decreases_performance_metric, hyst_err)
(l10, increasing_design_paramteter_increases_performance_metric, offset)
(w10, increasing_design_paramteter_decreases_performance_metric, offset)
(l11, increasing_design_paramteter_increases_performance_metric, gain)
(w11, increasing_design_paramteter_decreases_performance_metric, gain)
(l12, increasing_design_paramteter_increases_performance_metric, ugf)
(w12, increasing_design_paramteter_decreases_performance_metric, ugf)

