P-Graph:
(Performance metrics: quiescent current (iq1), stability, output voltage difference)
(quiescent current (iq1), trade-off, stability)
(quiescent current (iq1), trade-off, output voltage difference)
(stability, trade-off, output voltage difference)

P-S-Graph:
(differential pair, influences, stability)
(differential pair, influences, output voltage difference)
(current mirror, influences, quiescent current (iq1))
(current mirror, influences, stability)
(load stage, influences, output voltage difference)
(feedback loop, influences, stability)
(feedback loop, influences, output voltage difference)

P-S-X-Graph:
(l1, belongs_to, differential pair)
(w1, belongs_to, differential pair)
(l2, belongs_to, differential pair)
(w2, belongs_to, differential pair)
(l1, increasing_design_parameter_increases_performance_metric, stability)
(w1, increasing_design_parameter_increases_performance_metric, stability)
(l2, increasing_design_parameter_increases_performance_metric, stability)
(w2, increasing_design_parameter_increases_performance_metric, stability)
(l3, belongs_to, current mirror)
(w3, belongs_to, current mirror)
(l4, belongs_to, current mirror)
(w4, belongs_to, current mirror)
(l3, increasing_design_parameter_increases_performance_metric, quiescent current (iq1))
(w3, increasing_design_parameter_increases_performance_metric, quiescent current (iq1))
(l4, increasing_design_parameter_increases_performance_metric, quiescent current (iq1))
(w4, increasing_design_parameter_increases_performance_metric, quiescent current (iq1))
(l5, belongs_to, load stage)
(w5, belongs_to, load stage)
(l6, belongs_to, load stage)
(w6, belongs_to, load stage)
(l5, increasing_design_parameter_increases_performance_metric, output voltage difference)
(w5, increasing_design_parameter_increases_performance_metric, output voltage difference)
(l6, increasing_design_parameter_increases_performance_metric, output voltage difference)
(w6, increasing_design_parameter_increases_performance_metric, output voltage difference)
(l7, belongs_to, feedback loop)
(w7, belongs_to, feedback loop)
(l8, belongs_to, feedback loop)
(w8, belongs_to, feedback loop)
(l7, increasing_design_parameter_increases_performance_metric, stability)
(w7, increasing_design_parameter_increases_performance_metric, stability)
(l8, increasing_design_parameter_increases_performance_metric, stability)
(w8, increasing_design_parameter_increases_performance_metric, stability)
(l9, belongs_to, differential pair)
(w9, belongs_to, differential pair)
(l10, belongs_to, differential pair)
(w10, belongs_to, differential pair)
(l9, increasing_design_parameter_increases_performance_metric, stability)
(w9, increasing_design_parameter_increases_performance_metric, stability)
(l10, increasing_design_parameter_increases_performance_metric, stability)
(w10, increasing_design_parameter_increases_performance_metric, stability)
(l11, belongs_to, current mirror)
(w11, belongs_to, current mirror)
(l12, belongs_to, current mirror)
(w12, belongs_to, current mirror)
(l11, increasing_design_parameter_increases_performance_metric, quiescent current (iq1))
(w11, increasing_design_parameter_increases_performance_metric, quiescent current (iq1))
(l12, increasing_design_parameter_increases_performance_metric, quiescent current (iq1))
(w12, increasing_design_parameter_increases_performance_metric, quiescent current (iq1))
(l13, belongs_to, load stage)
(w13, belongs_to, load stage)
(l14, belongs_to, load stage)
(w14, belongs_to, load stage)
(l13, increasing_design_parameter_increases_performance_metric, output voltage difference)
(w13, increasing_design_parameter_increases_performance_metric, output voltage difference)
(l14, increasing_design_parameter_increases_performance_metric, output voltage difference)
(w14, increasing_design_parameter_increases_performance_metric, output voltage difference)
(l15, belongs_to, feedback loop)
(w15, belongs_to, feedback loop)
(l16, belongs_to, feedback loop)
(w16, belongs_to, feedback loop)
(l15, increasing_design_parameter_increases_performance_metric, stability)
(w15, increasing_design_parameter_increases_performance_metric, stability)
(l16, increasing_design_parameter_increases_performance_metric, stability)
(w16, increasing_design_parameter_increases_performance_metric, stability)
(l17, belongs_to, differential pair)
(w17, belongs_to, differential pair)
(l18, belongs_to, differential pair)
(w18, belongs_to, differential pair)
(l17, increasing_design_parameter_increases_performance_metric, stability)
(w17, increasing_design_parameter_increases_performance_metric, stability)
(l18, increasing_design_parameter_increases_performance_metric, stability)
(w18, increasing_design_parameter_increases_performance_metric, stability)
(l19, belongs_to, current mirror)
(w19, belongs_to, current mirror)
(l20, belongs_to, current mirror)
(w20, belongs_to, current mirror)
(l19, increasing_design_parameter_increases_performance_metric, quiescent current (iq1))
(w19, increasing_design_parameter_increases_performance_metric, quiescent current (iq1))
(l20, increasing_design_parameter_increases_performance_metric, quiescent current (iq1))
(w20, increasing_design_parameter_increases_performance_metric, quiescent current (iq1))

