P-Graph:
(Performance metrics: quiescent current (iq1), stability, output voltage difference)
(quiescent current (iq1), trade-off, stability)
(stability, trade-off, output voltage difference)

P-S-Graph:
(differential pair, influences, quiescent current (iq1))
(differential pair, influences, stability)
(differential pair, influences, output voltage difference)
(load stage, influences, quiescent current (iq1))
(load stage, influences, output voltage difference)
(biasing network, influences, quiescent current (iq1))
(biasing network, influences, stability)
(feedback network, influences, output voltage difference)
(feedback network, influences, stability)

P-S-X-Graph:
(l1, belongs_to, differential pair)
(w1, belongs_to, differential pair)
(l2, belongs_to, differential pair)
(w2, belongs_to, differential pair)
(l3, belongs_to, load stage)
(w3, belongs_to, load stage)
(l4, belongs_to, load stage)
(l4, increasing_design_paramteter_decreases_performance_metric, output voltage difference)
(w4, belongs_to, load stage)
(w4, increasing_design_paramteter_increases_performance_metric, output voltage difference)
(l5, belongs_to, biasing network)
(l5, increasing_design_paramteter_decreases_performance_metric, stability)
(w5, belongs_to, biasing network)
(l6, belongs_to, feedback network)
(l6, increasing_design_paramteter_decreases_performance_metric, output voltage difference)
(l6, increasing_design_paramteter_decreases_performance_metric, stability)
(w6, belongs_to, feedback network)
(w6, increasing_design_paramteter_increases_performance_metric, stability)
(l7, belongs_to, differential pair)
(w7, belongs_to, differential pair)
(w7, increasing_design_paramteter_increases_performance_metric, stability)
(l8, belongs_to, differential pair)
(l8, increasing_design_paramteter_decreases_performance_metric, stability)
(w8, belongs_to, differential pair)
(l9, belongs_to, differential pair)
(l9, increasing_design_paramteter_decreases_performance_metric, stability)
(w9, belongs_to, differential pair)
(w9, increasing_design_paramteter_increases_performance_metric, stability)
(l10, belongs_to, differential pair)
(w10, belongs_to, differential pair)
(w10, increasing_design_paramteter_increases_performance_metric, stability)
(l11, belongs_to, load stage)
(w11, belongs_to, load stage)
(w11, increasing_design_paramteter_increases_performance_metric, output voltage difference)
(l12, belongs_to, load stage)
(l12, increasing_design_paramteter_decreases_performance_metric, output voltage difference)
(w12, belongs_to, load stage)
(l13, belongs_to, biasing network)
(w13, belongs_to, biasing network)
(w13, increasing_design_paramteter_increases_performance_metric, stability)
(l14, belongs_to, feedback network)
(l14, increasing_design_paramteter_decreases_performance_metric, stability)
(w14, belongs_to, feedback network)
(w14, increasing_design_paramteter_increases_performance_metric, output voltage difference)
(l15, belongs_to, differential pair)
(l15, increasing_design_paramteter_decreases_performance_metric, stability)
(w15, belongs_to, differential pair)
(w15, increasing_design_paramteter_increases_performance_metric, stability)
(l16, belongs_to, differential pair)
(w16, belongs_to, differential pair)
(w16, increasing_design_paramteter_increases_performance_metric, stability)
(l17, belongs_to, load stage)
(w17, belongs_to, load stage)
(w17, increasing_design_paramteter_increases_performance_metric, output voltage difference)
(l18, belongs_to, load stage)
(l18, increasing_design_paramteter_decreases_performance_metric, output voltage difference)
(w18, belongs_to, load stage)
(l19, belongs_to, biasing network)
(w19, belongs_to, biasing network)
(w19, increasing_design_paramteter_increases_performance_metric, stability)
(l20, belongs_to, feedback network)
(l20, increasing_design_paramteter_decreases_performance_metric, stability)
(w20, belongs_to, feedback network)
(w20, increasing_design_paramteter_increases_performance_metric, output voltage difference)

