P-Graph:
(Performance metrics: Quiescent Current, Stability, Output Voltage Difference) :
(Quiescent Current, trade-off, Stability) :

P-S-Graph:
(M1, influences, Quiescent Current) :
(M2, influences, Quiescent Current) :
(M3, influences, Stability) :
(M4, influences, Stability) :
(M5, influences, Stability) :
(M6, influences, Stability) :
(M7, influences, Stability) :
(M8, influences, Stability) :
(M9, influences, Stability) :
(M10, influences, Stability) :
(M11, influences, Stability) :
(M12, influences, Output Voltage Difference) :
(M13, influences, Output Voltage Difference) :
(M14, influences, Quiescent Current) :
(M15, influences, Quiescent Current) :
(M16, influences, Quiescent Current) :
(M17, influences, Quiescent Current) :
(M18, influences, Quiescent Current) :
(M19, influences, Quiescent Current) :
(M20, influences, Quiescent Current) :

P-S-X-Graph:
(l1, belongs_to, M3) :
(l2, belongs_to, M4) :
(l3, belongs_to, M5) :
(l4, belongs_to, M6) :
(l5, belongs_to, M7) :
(l6, belongs_to, M8) :
(l7, belongs_to, M9) :
(l8, belongs_to, M10) :
(l9, belongs_to, M11) :
(l10, belongs_to, M12) :
(l11, belongs_to, M13) :
(l12, belongs_to, M14) :
(l13, belongs_to, M15) :
(l14, belongs_to, M16) :
(l15, belongs_to, M17) :
(l16, belongs_to, M18) :
(l17, belongs_to, M19) :
(l18, belongs_to, M20) :
(l19, belongs_to, M12) :
(l20, belongs_to, M13) :
(w1, belongs_to, M3) :
(w2, belongs_to, M4) :
(w3, belongs_to, M5) :
(w4, belongs_to, M6) :
(w5, belongs_to, M7) :
(w6, belongs_to, M8) :
(w7, belongs_to, M9) :
(w8, belongs_to, M10) :
(w9, belongs_to, M11) :
(w10, belongs_to, M12) :
(w11, belongs_to, M13) :
(w12, belongs_to, M14) :
(w13, belongs_to, M15) :
(w14, belongs_to, M16) :
(w15, belongs_to, M17) :
(w16, belongs_to, M18) :
(w17, belongs_to, M19) :
(w18, belongs_to, M20) :
(w19, belongs_to, M12) :
(w20, belongs_to, M13) :
(l3, increasing_design_paramteter_increases_performance_metric, Stability) :
(w3, increasing_design_paramteter_increases_performance_metric, Stability) :
(l4, increasing_design_paramteter_increases_performance_metric, Stability) :
(w4, increasing_design_paramteter_increases_performance_metric, Stability) :
(l5, increasing_design_paramteter_increases_performance_metric, Stability) :
(w5, increasing_design_paramteter_increases_performance_metric, Stability) :
(l6, increasing_design_paramteter_increases_performance_metric, Stability) :
(w6, increasing_design_paramteter_increases_performance_metric, Stability) :
(l7, increasing_design_paramteter_increases_performance_metric, Stability) :
(w7, increasing_design_paramteter_increases_performance_metric, Stability) :
(l8, increasing_design_paramteter_increases_performance_metric, Stability) :
(w8, increasing_design_paramteter_increases_performance_metric, Stability) :
(l9, increasing_design_paramteter_increases_performance_metric, Stability) :
(w9, increasing_design_paramteter_increases_performance_metric, Stability) :
(l10, increasing_design_paramteter_increases_performance_metric, Stability) :
(w10, increasing_design_paramteter_increases_performance_metric, Stability) :
(l11, increasing_design_paramteter_increases_performance_metric, Stability) :
(w11, increasing_design_paramteter_increases_performance_metric, Stability) :

