P-Graph:
(Performance metrics: quiescent current (iq1), stability, output voltage difference)
(quiescent current (iq1), trade-off, stability)

P-S-Graph:
(Sub-structures: Differential Pair, Load Stage, Biasing Network)
(Differential Pair, influences, quiescent current (iq1))
(Differential Pair, influences, stability)
(Differential Pair, influences, output voltage difference)
(Load Stage, influences, quiescent current (iq1))
(Load Stage, influences, stability)
(Load Stage, influences, output voltage difference)
(Biasing Network, influences, quiescent current (iq1))
(Biasing Network, influences, stability)
(Biasing Network, influences, output voltage difference)

P-S-X-Graph:
(l1, belongs_to, Differential Pair)
(w1, belongs_to, Differential Pair)
(l2, belongs_to, Differential Pair)
(w2, belongs_to, Differential Pair)
(l3, belongs_to, Differential Pair)
(w3, belongs_to, Differential Pair)
(l4, belongs_to, Differential Pair)
(w4, belongs_to, Differential Pair)
(l5, belongs_to, Load Stage)
(w5, belongs_to, Load Stage)
(l6, belongs_to, Load Stage)
(w6, belongs_to, Load Stage)
(l7, belongs_to, Load Stage)
(w7, belongs_to, Load Stage)
(l8, belongs_to, Biasing Network)
(w8, belongs_to, Biasing Network)
(l9, belongs_to, Biasing Network)
(w9, belongs_to, Biasing Network)
(l10, belongs_to, Biasing Network)
(w10, belongs_to, Biasing Network)
(l11, belongs_to, Biasing Network)
(w11, belongs_to, Biasing Network)
(l12, belongs_to, Biasing Network)
(w12, belongs_to, Biasing Network)
(l13, belongs_to, Biasing Network)
(w13, belongs_to, Biasing Network)
(l14, belongs_to, Biasing Network)
(w14, belongs_to, Biasing Network)
(l15, belongs_to, Biasing Network)
(w15, belongs_to, Biasing Network)
(l16, belongs_to, Biasing Network)
(w16, belongs_to, Biasing Network)
(l17, belongs_to, Biasing Network)
(w17, belongs_to, Biasing Network)
(l18, belongs_to, Biasing Network)
(w18, belongs_to, Biasing Network)
(l19, belongs_to, Biasing Network)
(w19, belongs_to, Biasing Network)
(l20, belongs_to, Biasing Network)
(w20, belongs_to, Biasing Network)
(l1, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(w1, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(w1, increasing_design_paramteter_increases_performance_metric, output voltage difference)
(l2, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(w2, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(w2, increasing_design_paramteter_increases_performance_metric, output voltage difference)
(l3, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(l3, increasing_design_paramteter_decreases_performance_metric, stability)
(w3, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(w3, increasing_design_paramteter_increases_performance_metric, output voltage difference)
(l4, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(l4, increasing_design_paramteter_decreases_performance_metric, stability)
(w4, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(w4, increasing_design_paramteter_increases_performance_metric, output voltage difference)
(l5, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(w5, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(w5, increasing_design_paramteter_increases_performance_metric, output voltage difference)
(l6, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(w6, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(w6, increasing_design_paramteter_increases_performance_metric, output voltage difference)
(l7, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(l7, increasing_design_paramteter_decreases_performance_metric, stability)
(w7, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(l8, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(w8, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(l9, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(w9, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(l10, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(w10, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(l11, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(l11, increasing_design_paramteter_decreases_performance_metric, stability)
(w11, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(w11, increasing_design_paramteter_decreases_performance_metric, stability)
(l12, increasing_design_paramteter_increases_performance_metric, quiescent current (iq1))
(l12, increasing_design_paramteter_decreases_performance_metric, stability)
(w12, increasing_design_paramteter_increases_performance_metric,

