P-Graph:
(Gain, trade-off, CMRR)
(Gain, trade-off, GBW)
(Gain, trade-off, PM)
(CMRR, trade-off, PM)
(GBW, trade-off, PM)

P-S-Graph:
(Differential Pair, Load Stage, Current Mirror)
(Differential Pair, influences, Gain)
(Differential Pair, influences, CMRR)
(Differential Pair, influences, GBW)
(Differential Pair, influences, PM)
(Load Stage, influences, Gain)
(Load Stage, influences, GBW)
(Load Stage, influences, PM)
(Current Mirror, influences, CMRR)
(Current Mirror, influences, GBW)
(Current Mirror, influences, PM)

P-S-X-Graph:
(l1, belongs_to, Differential Pair)
(l1, increasing_design_paramteter_decreases_performance_metric, GBW)
(l1, increasing_design_paramteter_decreases_performance_metric, PM)
(w1, belongs_to, Differential Pair)
(w1, increasing_design_paramteter_decreases_performance_metric, GBW)
(w1, increasing_design_paramteter_decreases_performance_metric, PM)
(l2, belongs_to, Load Stage)
(l2, increasing_design_paramteter_decreases_performance_metric, PM)
(w2, belongs_to, Load Stage)
(w2, increasing_design_paramteter_decreases_performance_metric, PM)
(l3, belongs_to, Differential Pair)
(l3, increasing_design_paramteter_decreases_performance_metric, GBW)
(l3, increasing_design_paramteter_decreases_performance_metric, PM)
(w3, belongs_to, Differential Pair)
(w3, increasing_design_paramteter_decreases_performance_metric, GBW)
(w3, increasing_design_paramteter_decreases_performance_metric, PM)
(l4, belongs_to, Differential Pair)
(l4, increasing_design_paramteter_decreases_performance_metric, PM)
(w4, belongs_to, Differential Pair)
(w4, increasing_design_paramteter_decreases_performance_metric, PM)
(l5, belongs_to, Current Mirror)
(l5, increasing_design_paramteter_decreases_performance_metric, GBW)
(l5, increasing_design_paramteter_decreases_performance_metric, PM)
(w5, belongs_to, Current Mirror)
(w5, increasing_design_paramteter_decreases_performance_metric, GBW)
(w5, increasing_design_paramteter_decreases_performance_metric, PM)
(l6, belongs_to, Current Mirror)
(l6, increasing_design_paramteter_decreases_performance_metric, GBW)
(l6, increasing_design_paramteter_decreases_performance_metric, PM)
(w6, belongs_to, Current Mirror)
(w6, increasing_design_paramteter_decreases_performance_metric, GBW)
(w6, increasing_design_paramteter_decreases_performance_metric, PM)
(l7, belongs_to, Load Stage)
(l7, increasing_design_paramteter_decreases_performance_metric, PM)
(w7, belongs_to, Load Stage)
(w7, increasing_design_paramteter_decreases_performance_metric, PM)
(l8, belongs_to, Load Stage)
(l8, increasing_design_paramteter_decreases_performance_metric, PM)
(w8, belongs_to, Load Stage)
(w8, increasing_design_paramteter_decreases_performance_metric, PM)
(r1, belongs_to, Load Stage)
(r1, increasing_design_paramteter_decreases_performance_metric, PM)
(c1, belongs_to, Load Stage)
(c1, increasing_design_paramteter_decreases_performance_metric, PM)

