P-Graph:
(Gain, trade-off, GBW)
(Gain, trade-off, PM)
(Gain, direct relationship, CMRR)
(CMRR, mild influence, PM)
(GBW, trade-off, PM)

P-S-Graph:
(Differential Pair, influences, Gain)
(Differential Pair, influences, CMRR)
(Differential Pair, influences, GBW)
(Current Mirror, influences, Gain)
(Current Mirror, influences, CMRR)
(Active Load, influences, Gain)
(Active Load, influences, CMRR)
(Active Load, influences, PM)
(Compensation Network, influences, PM)
(Compensation Network, influences, GBW)
(Output Stage, influences, Gain)
(Output Stage, influences, PM)
(Output Stage, influences, GBW)

P-S-X-Graph:
(l1, belongs_to, Current Mirror)
(w1, belongs_to, Current Mirror)
(l2, belongs_to, Current Mirror)
(w2, belongs_to, Current Mirror)
(l3, belongs_to, Differential Pair)
(w3, belongs_to, Differential Pair)
(l4, belongs_to, Differential Pair)
(w4, belongs_to, Differential Pair)
(l5, belongs_to, Current Mirror)
(w5, belongs_to, Current Mirror)
(l6, belongs_to, Current Mirror)
(w6, belongs_to, Current Mirror)
(l7, belongs_to, Output Stage)
(w7, belongs_to, Output Stage)
(l8, belongs_to, Output Stage)
(w8, belongs_to, Output Stage)
(r1, belongs_to, Compensation Network)
(c1, belongs_to, Compensation Network)
(w3, increasing_design_paramteter_increases_performance_metric, Gain)
(w3, increasing_design_paramteter_increases_performance_metric, CMRR)
(l3, increasing_design_paramteter_decreases_performance_metric, GBW)
(l3, increasing_design_paramteter_increases_performance_metric, Gain)
(w4, increasing_design_paramteter_increases_performance_metric, CMRR)
(w4, increasing_design_paramteter_increases_performance_metric, Gain)
(l4, increasing_design_paramteter_decreases_performance_metric, GBW)
(w1, increasing_design_paramteter_increases_performance_metric, Gain)
(w2, increasing_design_paramteter_increases_performance_metric, Gain)
(w5, increasing_design_paramteter_increases_performance_metric, Gain)
(w6, increasing_design_paramteter_increases_performance_metric, Gain)
(w7, increasing_design_paramteter_increases_performance_metric, PM)
(w8, increasing_design_paramteter_increases_performance_metric, GBW)
(l8, increasing_design_paramteter_decreases_performance_metric, GBW)
(r1, increasing_design_paramteter_increases_performance_metric, PM)
(c1, increasing_design_paramteter_decreases_performance_metric, GBW)
(c1, increasing_design_paramteter_increases_performance_metric, PM)

