history,circuit,mode,trial_id,status,returncode,duration_sec,recorded_iteration,executed_iterations,iteration_budget,stopped_early,best_fom,best_llm_fom,best_bo_fom,numpy_seed,torch_seed,openai_api_seed,best_metrics_json,best_llm_metrics_json,best_bo_metrics_json,run_dir,log_path,summary_path
1,amp2,ado-kt,1,ok,0,204.491,20,20,20,False,0.9951982563125,0.9951982563125,0.9018325013958334,1625116500,73836419,1405722982,"{""cmrr"": 63.790753699999996, ""gain"": 39.23172101, ""gbw"": 1779555.758, ""pow"": 1.9825998717999998e-05}","{""cmrr"": 63.790753699999996, ""gain"": 39.23172101, ""gbw"": 1779555.758, ""pow"": 1.9825998717999998e-05}","{""cmrr"": 53.20434512, ""gain"": 28.82363681, ""gbw"": 3247160.774, ""pow"": 8.502950451e-06}",results/llmbo_sweep_runs/history_1/amp2/ado-kt/trial_01,results/llmbo_sweep_runs/history_1/amp2/ado-kt/trial_01/stdout.log,results/llmbo_sweep_runs/history_1/amp2/ado-kt/trial_01/summary.json
1,amp2,ado-kt,2,ok,0,46.337,4,4,20,True,1.0,1.0,0.42060292321250003,1513690065,334845288,1232383485,"{""cmrr"": 63.399415946999994, ""gain"": 65.48638238, ""gbw"": 3827952.486, ""pow"": 1.7949219885e-05}","{""cmrr"": 63.399415946999994, ""gain"": 65.48638238, ""gbw"": 3827952.486, ""pow"": 1.7949219885e-05}","{""cmrr"": 40.944701571, ""gain"": -2.879380419, ""gbw"": -10000000.0, ""pow"": 1.5030093538e-05}",results/llmbo_sweep_runs/history_1/amp2/ado-kt/trial_02,results/llmbo_sweep_runs/history_1/amp2/ado-kt/trial_02/stdout.log,results/llmbo_sweep_runs/history_1/amp2/ado-kt/trial_02/summary.json
1,amp2,ado-kt,3,ok,0,83.11,8,8,20,True,1.0,1.0,0.5,754808375,1677090242,1380678582,"{""cmrr"": 66.77272894, ""gain"": 42.08600865, ""gbw"": 3653840.58, ""pow"": 1.7329259451e-05}","{""cmrr"": 66.77272894, ""gain"": 42.08600865, ""gbw"": 3653840.58, ""pow"": 1.7329259451e-05}","{""cmrr"": 67.14676861999999, ""gain"": -36.31864398, ""gbw"": -10000000.0, ""pow"": 1.487515263e-05}",results/llmbo_sweep_runs/history_1/amp2/ado-kt/trial_03,results/llmbo_sweep_runs/history_1/amp2/ado-kt/trial_03/stdout.log,results/llmbo_sweep_runs/history_1/amp2/ado-kt/trial_03/summary.json
1,amp2,ado-kt,4,ok,0,223.18,20,20,20,False,0.9349927165,0.81946155885,0.9349927165,836510521,760465492,1500767791,"{""cmrr"": 53.273668746, ""gain"": 59.00552246, ""gbw"": 852076.3869, ""pow"": 1.2855330008e-05}","{""cmrr"": 83.87393424, ""gain"": 22.86860746, ""gbw"": 706131.0489, ""pow"": 1.7554112991e-05}","{""cmrr"": 53.273668746, ""gain"": 59.00552246, ""gbw"": 852076.3869, ""pow"": 1.2855330008e-05}",results/llmbo_sweep_runs/history_1/amp2/ado-kt/trial_04,results/llmbo_sweep_runs/history_1/amp2/ado-kt/trial_04/stdout.log,results/llmbo_sweep_runs/history_1/amp2/ado-kt/trial_04/summary.json
1,amp2,ado-kt,5,ok,0,196.454,20,20,20,False,0.8422890510000001,0.8416239221875,0.8422890510000001,1383382649,295158537,654809706,"{""cmrr"": 44.04123549, ""gain"": 25.4054245, ""gbw"": 2264364.87, ""pow"": 1.1291517411e-05}","{""cmrr"": 75.34556051999999, ""gain"": 16.23260701, ""gbw"": 960680.5135, ""pow"": 1.5465377926e-05}","{""cmrr"": 44.04123549, ""gain"": 25.4054245, ""gbw"": 2264364.87, ""pow"": 1.1291517411e-05}",results/llmbo_sweep_runs/history_1/amp2/ado-kt/trial_05,results/llmbo_sweep_runs/history_1/amp2/ado-kt/trial_05/stdout.log,results/llmbo_sweep_runs/history_1/amp2/ado-kt/trial_05/summary.json
1,FC,ado-kt,1,ok,0,128.039,8,8,20,True,1.0,1.0,0.8394762134375,970409712,1888525373,1776147309,"{""cmrr"": 85.85789092, ""gain"": 62.48824312, ""gbw"": 2188917.955, ""pow"": 5.4642687248e-05}","{""cmrr"": 85.85789092, ""gain"": 62.48824312, ""gbw"": 2188917.955, ""pow"": 5.4642687248e-05}","{""cmrr"": 70.59781966, ""gain"": 28.52592648, ""gbw"": 2358876.944, ""pow"": 5.4372388696999995e-05}",results/llmbo_sweep_runs/history_1/FC/ado-kt/trial_01,results/llmbo_sweep_runs/history_1/FC/ado-kt/trial_01/stdout.log,results/llmbo_sweep_runs/history_1/FC/ado-kt/trial_01/summary.json
1,FC,ado-kt,2,ok,0,37.869,1,1,20,True,1.0,1.0,0.2551684076197115,780349454,433702920,649685265,"{""cmrr"": 85.73043658, ""gain"": 63.67205199, ""gbw"": 2188618.995, ""pow"": 5.4133894656000005e-05}","{""cmrr"": 85.73043658, ""gain"": 63.67205199, ""gbw"": 2188618.995, ""pow"": 5.4133894656000005e-05}","{""cmrr"": 24.01572505, ""gain"": -11.52605799, ""gbw"": -10000000.0, ""pow"": 7.3168990622e-05}",results/llmbo_sweep_runs/history_1/FC/ado-kt/trial_02,results/llmbo_sweep_runs/history_1/FC/ado-kt/trial_02/stdout.log,results/llmbo_sweep_runs/history_1/FC/ado-kt/trial_02/summary.json
1,FC,ado-kt,3,ok,0,207.41,12,12,20,True,1.0,1.0,0.522280550013782,2071728243,1052262785,1416572294,"{""cmrr"": 88.66899882999999, ""gain"": 62.56256283, ""gbw"": 2145104.319, ""pow"": 5.4819966427e-05}","{""cmrr"": 88.66899882999999, ""gain"": 62.56256283, ""gbw"": 2145104.319, ""pow"": 5.4819966427e-05}","{""cmrr"": 44.30093246, ""gain"": 13.59651751, ""gbw"": 4363985.802, ""pow"": 9.9931125256e-05}",results/llmbo_sweep_runs/history_1/FC/ado-kt/trial_03,results/llmbo_sweep_runs/history_1/FC/ado-kt/trial_03/stdout.log,results/llmbo_sweep_runs/history_1/FC/ado-kt/trial_03/summary.json
1,FC,ado-kt,4,ok,0,98.465,6,6,20,True,1.0,1.0,0.5,1943694389,1265209050,460274656,"{""cmrr"": 85.55015608, ""gain"": 63.02444136, ""gbw"": 2195119.825, ""pow"": 5.4757178015999996e-05}","{""cmrr"": 85.55015608, ""gain"": 63.02444136, ""gbw"": 2195119.825, ""pow"": 5.4757178015999996e-05}","{""cmrr"": 84.69871359, ""gain"": -47.54413601, ""gbw"": -10000000.0, ""pow"": 6.777699055000001e-06}",results/llmbo_sweep_runs/history_1/FC/ado-kt/trial_04,results/llmbo_sweep_runs/history_1/FC/ado-kt/trial_04/stdout.log,results/llmbo_sweep_runs/history_1/FC/ado-kt/trial_04/summary.json
1,FC,ado-kt,5,ok,0,265.039,12,12,20,True,1.0,1.0,0.7364115782640333,238013047,1464173119,1540346538,"{""cmrr"": 89.06189076, ""gain"": 63.3518377, ""gbw"": 2192568.052, ""pow"": 5.4582174055999994e-05}","{""cmrr"": 89.06189076, ""gain"": 63.3518377, ""gbw"": 2192568.052, ""pow"": 5.4582174055999994e-05}","{""cmrr"": 73.65383137, ""gain"": 25.76666932, ""gbw"": 1191058.269, ""pow"": 4.6389244409999996e-05}",results/llmbo_sweep_runs/history_1/FC/ado-kt/trial_05,results/llmbo_sweep_runs/history_1/FC/ado-kt/trial_05/stdout.log,results/llmbo_sweep_runs/history_1/FC/ado-kt/trial_05/summary.json
